frame,source_path,raw_markers,raw_charuco_corners,perspective_markers,perspective_charuco_corners,marker_gain,charuco_gain,status,raw_detection_image,perspective_image,perspective_detection_image
frame_000300,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/raw_frames/frame_000300.jpg,11,8,6,4,-5,-4,worse,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/results/perspective_detection_experiment/raw_detection/frame_000300_raw_detection.jpg,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/results/perspective_detection_experiment/perspective_best/frame_000300_perspective_best_focal_025.jpg,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/results/perspective_detection_experiment/perspective_best_detection/frame_000300_perspective_best_focal_025_detection.jpg
frame_000330,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/raw_frames/frame_000330.jpg,9,9,5,2,-4,-7,worse,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/results/perspective_detection_experiment/raw_detection/frame_000330_raw_detection.jpg,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/results/perspective_detection_experiment/perspective_best/frame_000330_perspective_best_focal_025.jpg,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/results/perspective_detection_experiment/perspective_best_detection/frame_000330_perspective_best_focal_025_detection.jpg
frame_000360,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/raw_frames/frame_000360.jpg,0,0,0,0,0,0,same,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/results/perspective_detection_experiment/raw_detection/frame_000360_raw_detection.jpg,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/results/perspective_detection_experiment/perspective_best/frame_000360_perspective_best_focal_025.jpg,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/results/perspective_detection_experiment/perspective_best_detection/frame_000360_perspective_best_focal_025_detection.jpg
frame_000390,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/raw_frames/frame_000390.jpg,0,0,0,0,0,0,same,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/results/perspective_detection_experiment/raw_detection/frame_000390_raw_detection.jpg,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/results/perspective_detection_experiment/perspective_best/frame_000390_perspective_best_focal_025.jpg,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/results/perspective_detection_experiment/perspective_best_detection/frame_000390_perspective_best_focal_025_detection.jpg
frame_000420,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/raw_frames/frame_000420.jpg,0,0,0,0,0,0,same,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/results/perspective_detection_experiment/raw_detection/frame_000420_raw_detection.jpg,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/results/perspective_detection_experiment/perspective_best/frame_000420_perspective_best_focal_025.jpg,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/results/perspective_detection_experiment/perspective_best_detection/frame_000420_perspective_best_focal_025_detection.jpg
frame_000450,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/raw_frames/frame_000450.jpg,0,0,0,0,0,0,same,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/results/perspective_detection_experiment/raw_detection/frame_000450_raw_detection.jpg,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/results/perspective_detection_experiment/perspective_best/frame_000450_perspective_best_focal_025.jpg,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/results/perspective_detection_experiment/perspective_best_detection/frame_000450_perspective_best_focal_025_detection.jpg
frame_000480,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/raw_frames/frame_000480.jpg,2,1,2,0,0,-1,worse,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/results/perspective_detection_experiment/raw_detection/frame_000480_raw_detection.jpg,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/results/perspective_detection_experiment/perspective_best/frame_000480_perspective_best_focal_025.jpg,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/results/perspective_detection_experiment/perspective_best_detection/frame_000480_perspective_best_focal_025_detection.jpg
frame_000510,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/raw_frames/frame_000510.jpg,5,2,4,0,-1,-2,worse,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/results/perspective_detection_experiment/raw_detection/frame_000510_raw_detection.jpg,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/results/perspective_detection_experiment/perspective_best/frame_000510_perspective_best_focal_025.jpg,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/results/perspective_detection_experiment/perspective_best_detection/frame_000510_perspective_best_focal_025_detection.jpg
frame_000540,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/raw_frames/frame_000540.jpg,5,2,4,0,-1,-2,worse,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/results/perspective_detection_experiment/raw_detection/frame_000540_raw_detection.jpg,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/results/perspective_detection_experiment/perspective_best/frame_000540_perspective_best_focal_025.jpg,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/results/perspective_detection_experiment/perspective_best_detection/frame_000540_perspective_best_focal_025_detection.jpg
frame_000570,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/raw_frames/frame_000570.jpg,3,0,3,0,0,0,same,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/results/perspective_detection_experiment/raw_detection/frame_000570_raw_detection.jpg,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/results/perspective_detection_experiment/perspective_best/frame_000570_perspective_best_focal_025.jpg,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/results/perspective_detection_experiment/perspective_best_detection/frame_000570_perspective_best_focal_025_detection.jpg
