source_frame_path,equirectangular_frame_path,width,height,error
/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/raw_frames/frame_003090.jpg,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/equirectangular_frames/frame_003090_equirectangular.jpg,3840,1080,
/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/raw_frames/frame_003120.jpg,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/equirectangular_frames/frame_003120_equirectangular.jpg,3840,1080,
/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/raw_frames/frame_003150.jpg,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/equirectangular_frames/frame_003150_equirectangular.jpg,3840,1080,
/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/raw_frames/frame_003180.jpg,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/equirectangular_frames/frame_003180_equirectangular.jpg,3840,1080,
/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/raw_frames/frame_003210.jpg,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/equirectangular_frames/frame_003210_equirectangular.jpg,3840,1080,
/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/raw_frames/frame_003240.jpg,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/equirectangular_frames/frame_003240_equirectangular.jpg,3840,1080,
/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/raw_frames/frame_003270.jpg,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/equirectangular_frames/frame_003270_equirectangular.jpg,3840,1080,
/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/raw_frames/frame_003300.jpg,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/equirectangular_frames/frame_003300_equirectangular.jpg,3840,1080,
/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/raw_frames/frame_003330.jpg,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/equirectangular_frames/frame_003330_equirectangular.jpg,3840,1080,
/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/raw_frames/frame_003360.jpg,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/equirectangular_frames/frame_003360_equirectangular.jpg,3840,1080,
/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/raw_frames/frame_003390.jpg,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/equirectangular_frames/frame_003390_equirectangular.jpg,3840,1080,
/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/raw_frames/frame_003420.jpg,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/equirectangular_frames/frame_003420_equirectangular.jpg,3840,1080,
/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/raw_frames/frame_003450.jpg,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/equirectangular_frames/frame_003450_equirectangular.jpg,3840,1080,
/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/raw_frames/frame_003480.jpg,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/equirectangular_frames/frame_003480_equirectangular.jpg,3840,1080,
/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/raw_frames/frame_004590.jpg,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/equirectangular_frames/frame_004590_equirectangular.jpg,3840,1080,
/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/raw_frames/frame_004620.jpg,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/equirectangular_frames/frame_004620_equirectangular.jpg,3840,1080,
/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/raw_frames/frame_004650.jpg,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/equirectangular_frames/frame_004650_equirectangular.jpg,3840,1080,
/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/raw_frames/frame_004710.jpg,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/equirectangular_frames/frame_004710_equirectangular.jpg,3840,1080,
/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/raw_frames/frame_004740.jpg,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/equirectangular_frames/frame_004740_equirectangular.jpg,3840,1080,
/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/raw_frames/frame_004770.jpg,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/equirectangular_frames/frame_004770_equirectangular.jpg,3840,1080,
/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/raw_frames/frame_004800.jpg,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/equirectangular_frames/frame_004800_equirectangular.jpg,3840,1080,
/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/raw_frames/frame_006120.jpg,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/equirectangular_frames/frame_006120_equirectangular.jpg,3840,1080,
/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/raw_frames/frame_006600.jpg,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/equirectangular_frames/frame_006600_equirectangular.jpg,3840,1080,
/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/raw_frames/frame_006630.jpg,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/equirectangular_frames/frame_006630_equirectangular.jpg,3840,1080,
/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/raw_frames/frame_006900.jpg,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/equirectangular_frames/frame_006900_equirectangular.jpg,3840,1080,
/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/raw_frames/frame_007080.jpg,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/equirectangular_frames/frame_007080_equirectangular.jpg,3840,1080,
/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/raw_frames/frame_007110.jpg,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/equirectangular_frames/frame_007110_equirectangular.jpg,3840,1080,
