source_frame_path,perspective_frame_path,view_name,width,height,error
/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/raw_frames/frame_003120.jpg,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/omni_perspective_frames/frame_003120_front.jpg,front,1280,720,
/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/raw_frames/frame_003150.jpg,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/omni_perspective_frames/frame_003150_front.jpg,front,1280,720,
/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/raw_frames/frame_003180.jpg,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/omni_perspective_frames/frame_003180_front.jpg,front,1280,720,
/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/raw_frames/frame_003210.jpg,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/omni_perspective_frames/frame_003210_front.jpg,front,1280,720,
/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/raw_frames/frame_003240.jpg,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/omni_perspective_frames/frame_003240_front.jpg,front,1280,720,
/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/raw_frames/frame_003270.jpg,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/omni_perspective_frames/frame_003270_front.jpg,front,1280,720,
/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/raw_frames/frame_003300.jpg,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/omni_perspective_frames/frame_003300_front.jpg,front,1280,720,
/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/raw_frames/frame_003330.jpg,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/omni_perspective_frames/frame_003330_front.jpg,front,1280,720,
/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/raw_frames/frame_003360.jpg,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/omni_perspective_frames/frame_003360_front.jpg,front,1280,720,
/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/raw_frames/frame_003390.jpg,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/omni_perspective_frames/frame_003390_front.jpg,front,1280,720,
/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/raw_frames/frame_003420.jpg,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/omni_perspective_frames/frame_003420_front.jpg,front,1280,720,
/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/raw_frames/frame_003450.jpg,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/omni_perspective_frames/frame_003450_front.jpg,front,1280,720,
/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/raw_frames/frame_003480.jpg,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/omni_perspective_frames/frame_003480_front.jpg,front,1280,720,
/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/raw_frames/frame_004590.jpg,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/omni_perspective_frames/frame_004590_front.jpg,front,1280,720,
/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/raw_frames/frame_004620.jpg,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/omni_perspective_frames/frame_004620_front.jpg,front,1280,720,
/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/raw_frames/frame_004650.jpg,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/omni_perspective_frames/frame_004650_front.jpg,front,1280,720,
/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/raw_frames/frame_004710.jpg,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/omni_perspective_frames/frame_004710_front.jpg,front,1280,720,
/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/raw_frames/frame_004740.jpg,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/omni_perspective_frames/frame_004740_front.jpg,front,1280,720,
/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/raw_frames/frame_004770.jpg,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/omni_perspective_frames/frame_004770_front.jpg,front,1280,720,
/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/raw_frames/frame_004800.jpg,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/omni_perspective_frames/frame_004800_front.jpg,front,1280,720,
/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/raw_frames/frame_006120.jpg,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/omni_perspective_frames/frame_006120_front.jpg,front,1280,720,
/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/raw_frames/frame_006600.jpg,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/omni_perspective_frames/frame_006600_front.jpg,front,1280,720,
/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/raw_frames/frame_006630.jpg,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/omni_perspective_frames/frame_006630_front.jpg,front,1280,720,
/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/raw_frames/frame_006900.jpg,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/omni_perspective_frames/frame_006900_front.jpg,front,1280,720,
/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/raw_frames/frame_007080.jpg,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/omni_perspective_frames/frame_007080_front.jpg,front,1280,720,
/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/raw_frames/frame_007110.jpg,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/omni_perspective_frames/frame_007110_front.jpg,front,1280,720,
/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/raw_frames/frame_007140.jpg,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/omni_perspective_frames/frame_007140_front.jpg,front,1280,720,
/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/raw_frames/frame_007230.jpg,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/omni_perspective_frames/frame_007230_front.jpg,front,1280,720,
/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/raw_frames/frame_007260.jpg,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/omni_perspective_frames/frame_007260_front.jpg,front,1280,720,
/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/raw_frames/frame_007380.jpg,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/omni_perspective_frames/frame_007380_front.jpg,front,1280,720,
/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/raw_frames/frame_007410.jpg,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/omni_perspective_frames/frame_007410_front.jpg,front,1280,720,
/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/raw_frames/frame_007470.jpg,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/omni_perspective_frames/frame_007470_front.jpg,front,1280,720,
/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/raw_frames/frame_007500.jpg,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/omni_perspective_frames/frame_007500_front.jpg,front,1280,720,
/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/raw_frames/frame_009180.jpg,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/omni_perspective_frames/frame_009180_front.jpg,front,1280,720,
/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/raw_frames/frame_009210.jpg,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/omni_perspective_frames/frame_009210_front.jpg,front,1280,720,
/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/raw_frames/frame_009240.jpg,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/omni_perspective_frames/frame_009240_front.jpg,front,1280,720,
/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/raw_frames/frame_010560.jpg,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/omni_perspective_frames/frame_010560_front.jpg,front,1280,720,
/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/raw_frames/frame_010590.jpg,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/omni_perspective_frames/frame_010590_front.jpg,front,1280,720,
/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/raw_frames/frame_010620.jpg,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/omni_perspective_frames/frame_010620_front.jpg,front,1280,720,
/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/raw_frames/frame_010650.jpg,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/omni_perspective_frames/frame_010650_front.jpg,front,1280,720,
/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/raw_frames/frame_000000.jpg,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/omni_perspective_frames/frame_000000_left_30.jpg,left_30,1280,720,
/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/raw_frames/frame_000030.jpg,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/omni_perspective_frames/frame_000030_left_30.jpg,left_30,1280,720,
/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/raw_frames/frame_000060.jpg,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/omni_perspective_frames/frame_000060_left_30.jpg,left_30,1280,720,
/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/raw_frames/frame_000090.jpg,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/omni_perspective_frames/frame_000090_left_30.jpg,left_30,1280,720,
/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/raw_frames/frame_000120.jpg,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/omni_perspective_frames/frame_000120_left_30.jpg,left_30,1280,720,
/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/raw_frames/frame_000150.jpg,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/omni_perspective_frames/frame_000150_left_30.jpg,left_30,1280,720,
/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/raw_frames/frame_000180.jpg,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/omni_perspective_frames/frame_000180_left_30.jpg,left_30,1280,720,
/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/raw_frames/frame_000210.jpg,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/omni_perspective_frames/frame_000210_left_30.jpg,left_30,1280,720,
/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/raw_frames/frame_000240.jpg,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/omni_perspective_frames/frame_000240_left_30.jpg,left_30,1280,720,
/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/raw_frames/frame_000270.jpg,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/omni_perspective_frames/frame_000270_left_30.jpg,left_30,1280,720,
/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/raw_frames/frame_000300.jpg,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/omni_perspective_frames/frame_000300_left_30.jpg,left_30,1280,720,
/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/raw_frames/frame_000330.jpg,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/omni_perspective_frames/frame_000330_left_30.jpg,left_30,1280,720,
/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/raw_frames/frame_001050.jpg,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/omni_perspective_frames/frame_001050_left_30.jpg,left_30,1280,720,
